seq_id	loci
@M05522:50:000000000-BW89L:1:1111:20645:14464	TRB
@M05522:50:000000000-BW89L:1:1111:14163:20278	TRB
@M05522:50:000000000-BW89L:1:1101:5162:10850	TRB
@M05522:50:000000000-BW89L:1:2111:5262:19056	TRB
@M05522:50:000000000-BW89L:1:1110:8445:22332	TRB
@M05522:50:000000000-BW89L:1:2101:8531:11452	TRB
@M05522:50:000000000-BW89L:1:2112:6842:11559	TRB
@M05522:50:000000000-BW89L:1:2110:26782:8274	TRA
@M05522:50:000000000-BW89L:1:1105:25998:16296	TRB
@M05522:50:000000000-BW89L:1:1107:26901:15814	TRB
@M05522:50:000000000-BW89L:1:1111:26799:8680	TRA
@M05522:50:000000000-BW89L:1:1110:17559:5872	TRB
@M05522:50:000000000-BW89L:1:2106:28534:15193	TRB
@M05522:50:000000000-BW89L:1:1112:27062:12204	TRB
@M05522:50:000000000-BW89L:1:2103:13747:13210	TRB
@M05522:50:000000000-BW89L:1:1108:24719:18672	TRB
@M05522:50:000000000-BW89L:1:2107:23396:5919	TRB
@M05522:50:000000000-BW89L:1:1113:25542:22390	TRB
@M05522:50:000000000-BW89L:1:2110:23560:25978	TRB
@M05522:50:000000000-BW89L:1:1114:14844:27243	TRB
@M05522:50:000000000-BW89L:1:1104:14306:6636	TRA
@M05522:50:000000000-BW89L:1:1104:21558:18505	TRB
@M05522:50:000000000-BW89L:1:1111:20655:6478	TRB
@M05522:50:000000000-BW89L:1:1112:19076:27175	TRB
@M05522:50:000000000-BW89L:1:2114:26607:22953	TRA
@M05522:50:000000000-BW89L:1:1107:13648:23765	TRB
@M05522:50:000000000-BW89L:1:1113:17050:4937	TRB
@M05522:50:000000000-BW89L:1:1106:11080:4799	TRB
@M05522:50:000000000-BW89L:1:2112:26237:17436	TRB
@M05522:50:000000000-BW89L:1:2108:6271:23341	TRB
@M05522:50:000000000-BW89L:1:2106:22978:3431	TRB
@M05522:50:000000000-BW89L:1:2111:22545:23200	TRB
@M05522:50:000000000-BW89L:1:2103:15019:9550	TRB
